Order ID,Customer ID,Product ID,Date,Original Price,Discount%
OD0001,C001,P0001,27-03-2022,349.00,30.00%
OD0002,C002,P0001,26-12-2022,350.00,30.00%
OD0003,C003,P0001,06-01-2021,351.00,30.00%
OD0004,C004,P0001,29-04-2021,352.00,25.00%
OD0005,C005,P0001,27-08-2021,353.00,25.00%
OD0006,C006,P0002,17-02-2022,354.00,30.00%
OD0007,C007,P0003,28-11-2022,355.00,30.00%
OD0008,C008,P0004,25-10-2022,356.00,30.00%
OD0009,C009,P0005,02-06-2022,2222.00,40.00%
OD0010,C010,P0006,24-07-2021,2342.00,40.00%
OD0011,C011,P0007,02-10-2022,2241.00,40.00%
OD0012,C012,P0007,17-01-2021,2253.00,40.00%
OD0013,C013,P0007,28-06-2022,2245.00,40.00%
OD0014,C014,P0008,07-12-2022,2231.00,40.00%
OD0015,C015,P0009,17-07-2021,2452.00,45.00%
OD0016,C016,P0010,05-07-2021,2236.00,45.00%
OD0017,C017,P0011,05-05-2022,2245.00,45.00%
OD0018,C018,P0012,05-08-2021,2235.00,47.00%
OD0019,C019,P0012,21-08-2022,2214.00,47.00%
OD0020,C020,P0012,28-03-2022,2231.00,46.00%
OD0021,C021,P0013,22-04-2021,2145.00,46.00%
OD0022,C022,P0014,13-03-2021,2356.00,46.00%
OD0023,C023,P0015,14-09-2022,2412.00,30.00%
OD0024,C024,P0016,21-12-2022,2234.00,30.00%
OD0025,C025,P0017,16-08-2022,2214.00,30.00%
OD0026,C026,P0018,03-03-2022,999.00,30.00%
OD0027,C027,P0019,17-04-2022,1119.00,30.00%
OD0028,C028,P0020,27-10-2021,1119.00,35.00%
OD0029,C029,P0021,17-12-2022,1119.00,35.00%
OD0030,C030,P0022,02-01-2023,1119.00,35.00%
OD0031,C031,P0023,10-07-2021,985.00,35.00%
OD0032,C032,P0024,12-12-2022,985.00,35.00%
OD0033,C033,P0024,03-03-2021,985.00,35.00%
OD0034,C034,P0024,29-10-2021,985.00,40.00%
OD0035,C035,P0025,28-04-2022,985.00,40.00%
OD0036,C036,P0026,21-06-2022,369.00,15.00%
OD0037,C037,P0027,24-09-2022,399.00,15.00%
OD0038,C038,P0028,23-07-2022,399.00,15.00%
OD0039,C039,P0029,11-02-2021,399.00,35.00%
OD0040,C040,P0030,04-01-2023,399.00,35.00%
OD0041,C041,P0031,17-02-2022,555.00,35.00%
OD0042,C042,P0032,28-08-2021,555.00,35.00%
OD0043,C043,P0033,25-03-2023,555.00,55.00%
OD0044,C044,P0034,20-08-2021,555.00,55.00%
OD0045,C045,P0035,15-10-2021,675.00,55.00%
OD0046,C046,P0036,25-01-2021,675.00,55.00%
OD0047,C047,P0037,09-04-2021,675.00,50.00%
OD0048,C048,P0038,16-08-2021,654.00,50.00%
OD0049,C049,P0038,28-08-2022,654.00,50.00%
OD0050,C050,P0038,10-04-2022,654.00,50.00%
OD0051,C051,P0039,21-01-2022,654.00,50.00%
OD0052,C052,P0040,30-09-2021,356.00,30.00%
OD0053,C053,P0041,17-06-2021,2235.00,32.00%
OD0054,C054,P0042,19-11-2021,1125.00,25.00%
OD0055,C055,P0043,09-04-2021,2451.00,45.00%
OD0056,C056,P0044,19-09-2021,2263.00,15.00%
OD0057,C057,P0045,18-12-2022,1365.00,33.00%
OD0058,C058,P0046,16-07-2021,2453.00,42.00%
OD0059,C059,P0047,24-12-2021,1555.00,42.00%
OD0060,C060,P0048,27-05-2022,1234.00,39.00%
OD0061,C061,P0049,28-01-2023,2344.00,39.00%
OD0062,C062,P0050,27-03-2021,2142.00,39.00%
OD0063,C063,P0051,02-01-2023,2612.00,39.00%
OD0064,C064,P0051,19-02-2022,2243.00,30.00%
OD0065,C065,P0051,26-10-2021,333.00,30.00%
OD0066,C066,P0052,22-01-2021,236.00,30.00%
OD0067,C067,P0053,07-10-2022,456.00,25.00%
OD0068,C068,P0054,16-07-2022,963.00,25.00%
OD0069,C069,P0055,09-04-2021,234.00,30.00%
OD0070,C070,P0056,22-09-2021,456.00,30.00%
OD0071,C071,P0057,13-07-2021,564.00,30.00%
OD0072,C072,P0058,02-12-2021,634.00,40.00%
OD0073,C073,P0059,28-09-2022,236.00,40.00%
OD0074,C074,P0060,22-06-2021,444.00,40.00%
OD0075,C075,P0060,17-02-2021,456.00,40.00%
OD0076,C076,P0060,22-02-2022,963.00,40.00%
OD0077,C077,P0060,01-11-2021,456.00,40.00%
OD0078,C078,P0061,26-02-2021,1189.00,45.00%
OD0079,C079,P0062,28-01-2023,1298.00,45.00%
OD0080,C080,P0063,08-12-2022,1456.00,45.00%
OD0081,C081,P0064,06-12-2021,1478.00,47.00%
OD0082,C082,P0065,12-10-2022,256.00,47.00%
OD0083,C083,P0066,14-03-2021,2698.00,46.00%
OD0084,C084,P0067,28-05-2022,2364.00,46.00%
OD0085,C085,P0068,17-10-2022,1236.00,46.00%
OD0086,C086,P0069,11-02-2022,756.00,30.00%
OD0087,C087,P0070,12-07-2022,326.00,30.00%
OD0088,C088,P0071,11-05-2022,453.00,30.00%
OD0089,C089,P0072,09-04-2021,326.00,30.00%
OD0090,C090,P0073,05-12-2022,456.00,30.00%
OD0091,C091,P0074,27-06-2022,675.00,35.00%
OD0092,C092,P0075,15-06-2022,654.00,35.00%
OD0093,C093,P0076,13-04-2021,654.00,35.00%
OD0094,C094,P0077,08-03-2021,654.00,35.00%
OD0095,C095,P0077,24-08-2022,654.00,35.00%
OD0096,C096,P0077,13-03-2022,356.00,35.00%
OD0097,C097,P0077,05-10-2021,686.00,40.00%
OD0098,C098,P0077,25-02-2021,456.00,40.00%
OD0099,C099,P0078,22-10-2021,516.00,15.00%
OD0100,C100,P0079,07-05-2022,355.00,15.00%
OD0101,C001,P0080,22-05-2021,465.00,15.00%
OD0102,C002,P0081,07-01-2022,965.00,35.00%
OD0103,C003,P0082,02-02-2021,1158.00,35.00%
OD0104,C004,P0083,01-02-2023,264.00,35.00%
OD0105,C005,P0084,25-02-2022,433.00,35.00%
OD0106,C006,P0085,27-01-2023,562.00,55.00%
OD0107,C007,P0086,05-02-2021,423.00,55.00%
OD0108,C008,P0087,15-09-2022,621.00,55.00%
OD0109,C009,P0088,15-03-2022,333.00,55.00%
OD0110,C010,P0089,06-02-2021,236.00,50.00%
OD0111,C011,P0090,24-01-2021,456.00,50.00%
OD0112,C012,P0091,23-09-2021,963.00,50.00%
OD0113,C013,P0092,18-07-2021,234.00,50.00%
OD0114,C014,P0093,04-06-2021,456.00,50.00%
OD0115,C015,P0094,16-05-2021,564.00,30.00%
OD0116,C016,P0094,06-10-2021,634.00,32.00%
OD0117,C017,P0094,11-08-2021,236.00,25.00%
OD0118,C018,P0095,07-09-2021,444.00,45.00%
OD0119,C019,P0096,18-12-2022,456.00,15.00%
OD0120,C020,P0097,03-09-2022,963.00,33.00%
OD0121,C021,P0098,06-01-2023,456.00,42.00%
OD0122,C022,P0099,03-05-2021,1189.00,42.00%
OD0123,C023,P0100,06-04-2021,1298.00,39.00%
OD0124,C024,P0101,22-02-2022,1456.00,39.00%
OD0125,C025,P0102,28-08-2021,1478.00,39.00%
OD0126,C026,P0103,05-01-2023,256.00,39.00%
OD0127,C027,P0104,13-02-2022,2698.00,30.00%
OD0128,C028,P0105,31-03-2021,2364.00,30.00%
OD0129,C029,P0106,25-03-2021,1236.00,30.00%
OD0130,C030,P0107,21-12-2021,756.00,25.00%
OD0131,C031,P0108,11-12-2021,326.00,25.00%
OD0132,C032,P0108,04-11-2021,453.00,30.00%
OD0133,C033,P0108,04-01-2023,326.00,30.00%
OD0134,C034,P0108,25-06-2022,456.00,30.00%
OD0135,C035,P0108,07-09-2021,675.00,40.00%
OD0136,C036,P0109,24-02-2022,654.00,40.00%
OD0137,C037,P0110,01-01-2021,654.00,40.00%
OD0138,C038,P0111,04-11-2021,654.00,40.00%
OD0139,C039,P0112,21-12-2021,654.00,40.00%
OD0140,C040,P0113,10-11-2021,356.00,40.00%
OD0141,C041,P0113,13-02-2021,686.00,45.00%
OD0142,C042,P0113,15-01-2021,456.00,45.00%
OD0143,C043,P0114,27-05-2021,516.00,45.00%
OD0144,C044,P0115,13-12-2022,355.00,47.00%
OD0145,C045,P0116,12-11-2022,465.00,47.00%
OD0146,C046,P0117,11-11-2021,965.00,46.00%
OD0147,C047,P0118,11-06-2021,1158.00,46.00%
OD0148,C048,P0119,13-08-2022,264.00,46.00%
OD0149,C049,P0120,28-02-2023,433.00,30.00%
OD0150,C050,P0121,18-05-2021,562.00,30.00%
OD0151,C051,P0122,17-09-2022,423.00,30.00%
OD0152,C052,P0123,28-03-2021,621.00,30.00%
OD0153,C053,P0124,20-11-2022,333.00,30.00%
OD0154,C054,P0125,02-03-2023,236.00,35.00%
OD0155,C055,P0126,13-03-2023,456.00,35.00%
OD0156,C056,P0127,12-03-2023,963.00,35.00%
OD0157,C057,P0128,03-06-2022,234.00,35.00%
OD0158,C058,P0129,10-10-2021,456.00,35.00%
OD0159,C059,P0130,30-03-2023,564.00,35.00%
OD0160,C060,P0131,06-02-2021,634.00,40.00%
OD0161,C061,P0132,15-01-2023,236.00,40.00%
OD0162,C062,P0133,23-10-2021,444.00,15.00%
OD0163,C063,P0134,09-09-2021,456.00,15.00%
OD0164,C064,P0135,02-07-2021,963.00,15.00%
OD0165,C065,P0136,13-05-2021,456.00,35.00%
OD0166,C066,P0137,10-03-2023,1189.00,35.00%
OD0167,C067,P0138,26-05-2022,1298.00,35.00%
OD0168,C068,P0138,23-02-2021,1456.00,35.00%
OD0169,C069,P0138,24-04-2022,1478.00,55.00%
OD0170,C070,P0139,26-10-2022,256.00,55.00%
OD0171,C071,P0140,19-10-2021,2698.00,55.00%
OD0172,C072,P0141,21-08-2022,2364.00,55.00%
OD0173,C073,P0142,20-04-2022,1236.00,50.00%
OD0174,C074,P0143,05-01-2021,756.00,50.00%
OD0175,C075,P0144,26-05-2021,326.00,50.00%
OD0176,C076,P0145,01-06-2021,453.00,50.00%
OD0177,C077,P0146,14-02-2023,326.00,50.00%
OD0178,C078,P0147,30-01-2022,456.00,30.00%
OD0179,C079,P0148,05-01-2023,456.00,32.00%
OD0180,C080,P0149,12-09-2021,456.00,25.00%
OD0181,C081,P0150,13-11-2022,456.00,45.00%
OD0182,C082,P0151,29-01-2022,236.00,15.00%
OD0183,C083,P0152,10-11-2022,996.00,33.00%
OD0184,C084,P0153,26-03-2021,654.00,42.00%
OD0185,C085,P0154,08-07-2022,456.00,42.00%
OD0186,C086,P0155,08-08-2021,785.00,39.00%
OD0187,C087,P0156,12-03-2023,365.00,39.00%
OD0188,C088,P0157,15-10-2022,965.00,39.00%
OD0189,C089,P0158,25-03-2022,444.00,39.00%
OD0190,C090,P0159,27-09-2021,569.00,30.00%
OD0191,C091,P0160,03-03-2022,475.00,30.00%
OD0192,C092,P0161,26-03-2022,598.00,30.00%
OD0193,C093,P0162,24-05-2021,536.00,25.00%
OD0194,C094,P0163,11-10-2022,256.00,25.00%
OD0195,C095,P0164,28-12-2021,456.00,30.00%
OD0196,C096,P0165,18-07-2022,456.00,30.00%
OD0197,C097,P0166,03-10-2021,745.00,30.00%
OD0198,C098,P0167,19-05-2022,356.00,40.00%
OD0199,C099,P0168,07-09-2021,1189.00,40.00%
OD0200,C100,P0168,21-03-2022,426.00,40.00%
OD0201,C001,P0168,12-12-2021,1126.00,40.00%
OD0202,C002,P0168,23-01-2022,1145.00,40.00%
OD0203,C003,P0169,13-11-2021,1235.00,40.00%
OD0204,C004,P0170,10-04-2022,1564.00,45.00%
OD0205,C005,P0171,12-01-2021,654.00,45.00%
OD0206,C006,P0172,21-01-2021,854.00,45.00%
OD0207,C007,P0173,15-07-2022,475.00,47.00%
OD0208,C008,P0174,23-05-2021,349.00,47.00%
OD0209,C009,P0175,15-09-2022,350.00,46.00%
OD0210,C010,P0176,12-12-2021,351.00,46.00%
OD0211,C011,P0177,05-11-2022,352.00,46.00%
OD0212,C012,P0178,27-07-2021,353.00,30.00%
OD0213,C013,P0179,15-08-2022,354.00,30.00%
OD0214,C014,P0180,31-08-2021,355.00,30.00%
OD0215,C015,P0181,18-07-2022,356.00,30.00%
OD0216,C016,P0182,01-02-2022,999.00,30.00%
OD0217,C017,P0183,24-09-2022,555.00,35.00%
OD0218,C018,P0184,23-07-2021,555.00,35.00%
OD0219,C019,P0185,15-01-2021,555.00,35.00%
OD0220,C020,P0186,02-10-2022,555.00,35.00%
OD0221,C021,P0187,02-05-2022,1025.00,35.00%
OD0222,C022,P0188,27-09-2021,1025.00,35.00%
OD0223,C023,P0188,25-03-2021,1025.00,40.00%
OD0224,C024,P0188,11-10-2022,555.00,40.00%
OD0225,C025,P0189,14-11-2021,599.00,15.00%
OD0226,C026,P0190,14-12-2022,555.00,15.00%
OD0227,C027,P0191,07-03-2022,555.00,15.00%
OD0228,C028,P0192,31-08-2022,2245.00,35.00%
OD0229,C029,P0193,04-02-2021,2256.00,35.00%
OD0230,C030,P0194,14-06-2021,2214.00,35.00%
OD0231,C031,P0195,19-11-2022,2145.00,35.00%
OD0232,C032,P0196,26-02-2023,2325.00,55.00%
OD0233,C033,P0197,07-11-2021,2256.00,55.00%
OD0234,C034,P0198,14-07-2022,1425.00,55.00%
OD0235,C035,P0199,30-12-2021,2236.00,55.00%
OD0236,C036,P0200,04-05-2021,2525.00,50.00%
OD0237,C037,P0201,16-10-2022,2145.00,50.00%
OD0238,C038,P0202,19-04-2022,2365.00,50.00%
OD0239,C039,P0203,13-08-2022,1245.00,50.00%
OD0240,C040,P0204,30-12-2022,3245.00,50.00%
OD0241,C041,P0205,24-02-2023,1222.00,30.00%
OD0242,C042,P0206,17-02-2021,2451.00,32.00%
OD0243,C043,P0207,16-08-2021,2256.00,25.00%
OD0244,C044,P0208,12-02-2022,399.00,45.00%
OD0245,C045,P0209,17-06-2022,399.00,15.00%
OD0246,C046,P0210,06-11-2022,399.00,33.00%
OD0247,C047,P0211,01-03-2021,399.00,42.00%
OD0248,C048,P0212,14-10-2021,555.00,42.00%
OD0249,C049,P0213,22-02-2021,555.00,39.00%
OD0250,C050,P0214,22-10-2022,555.00,39.00%
OD0251,C051,P0214,08-06-2021,555.00,39.00%
OD0252,C052,P0214,01-04-2022,675.00,39.00%
OD0253,C053,P0214,21-01-2023,675.00,30.00%
OD0254,C054,P0214,04-02-2023,675.00,30.00%
OD0255,C055,P0215,17-12-2021,654.00,30.00%
OD0256,C056,P0216,05-03-2022,654.00,25.00%
OD0257,C057,P0217,08-02-2021,654.00,25.00%
OD0258,C058,P0218,08-09-2022,654.00,30.00%
OD0259,C059,P0219,24-03-2023,356.00,30.00%
OD0260,C060,P0220,19-04-2022,686.00,30.00%
OD0261,C061,P0221,09-12-2022,456.00,40.00%
OD0262,C062,P0222,05-02-2021,516.00,40.00%
OD0263,C063,P0223,13-03-2021,355.00,40.00%
OD0264,C064,P0224,27-11-2021,465.00,40.00%
OD0265,C065,P0225,14-01-2022,965.00,40.00%
OD0266,C066,P0226,19-03-2022,1158.00,40.00%
OD0267,C067,P0227,21-06-2022,264.00,45.00%
OD0268,C068,P0228,28-10-2021,433.00,45.00%
OD0269,C069,P0229,01-03-2022,562.00,45.00%
OD0270,C070,P0230,03-09-2022,423.00,47.00%
OD0271,C071,P0231,21-10-2022,621.00,47.00%
OD0272,C072,P0232,16-08-2021,333.00,46.00%
OD0273,C073,P0233,23-07-2022,236.00,46.00%
OD0274,C074,P0234,27-03-2021,456.00,46.00%
OD0275,C075,P0235,25-07-2022,963.00,30.00%
OD0276,C076,P0236,09-04-2021,234.00,30.00%
OD0277,C077,P0237,13-08-2022,456.00,30.00%
OD0278,C078,P0238,19-09-2021,564.00,30.00%
OD0279,C079,P0239,27-07-2022,634.00,30.00%
OD0280,C080,P0240,20-10-2022,236.00,35.00%
OD0281,C081,P0241,21-07-2021,444.00,35.00%
OD0282,C082,P0242,13-08-2021,456.00,35.00%
OD0283,C083,P0243,01-10-2022,963.00,35.00%
OD0284,C084,P0244,02-12-2022,456.00,35.00%
OD0285,C085,P0245,23-09-2022,1189.00,35.00%
OD0286,C086,P0245,10-09-2022,1298.00,40.00%
OD0287,C087,P0245,22-09-2022,1456.00,40.00%
OD0288,C088,P0246,16-07-2021,1478.00,15.00%
OD0289,C089,P0247,10-05-2021,256.00,15.00%
OD0290,C090,P0248,18-01-2023,2698.00,15.00%
OD0291,C091,P0249,14-03-2023,2364.00,35.00%
OD0292,C092,P0250,05-01-2023,1236.00,35.00%
OD0293,C093,P0251,18-12-2022,756.00,35.00%
OD0294,C094,P0252,27-10-2022,326.00,35.00%
OD0295,C095,P0253,09-03-2023,453.00,55.00%
OD0296,C096,P0254,22-01-2022,326.00,55.00%
OD0297,C097,P0255,04-12-2021,456.00,55.00%
OD0298,C098,P0256,27-11-2021,675.00,55.00%
OD0299,C099,P0257,27-02-2022,654.00,50.00%
OD0300,C100,P0257,08-10-2022,654.00,50.00%
OD0301,C100,P0257,11-03-2021,654.00,50.00%
OD0302,C100,P0257,06-08-2022,654.00,50.00%
OD0303,C100,P0257,27-06-2021,356.00,50.00%
OD0304,C100,P0257,03-04-2022,686.00,30.00%
OD0305,C100,P0258,22-11-2022,456.00,32.00%
OD0306,C100,P0259,22-08-2022,516.00,25.00%
OD0307,C100,P0260,07-09-2022,355.00,45.00%
OD0308,C099,P0261,01-11-2022,465.00,15.00%
OD0309,C099,P0262,25-10-2021,965.00,33.00%
OD0310,C099,P0263,30-01-2023,1158.00,42.00%
OD0311,C099,P0264,02-03-2022,264.00,42.00%
OD0312,C099,P0265,30-04-2022,433.00,39.00%
OD0313,C099,P0266,27-12-2022,562.00,39.00%
OD0314,C099,P0267,04-11-2022,423.00,39.00%
OD0315,C099,P0268,08-02-2023,621.00,39.00%
OD0316,C001,P0269,24-01-2023,333.00,30.00%
