Product ID,Category,Sub-category,Product Name,Brand Name,Size,Color,Ratings
P0001,Women,Topwear,T-Shirts,Roadster,40,Black,4.00
P0002,Women,Topwear,T-Shirts,Roadster,40,Blue,5.00
P0003,Women,Topwear,T-Shirts,Roadster,42,White,3.00
P0004,Women,Topwear,T-Shirts,Roadster,44,Green,2.00
P0005,Women,Topwear,T-Shirts,Puma,38,Olive,5.00
P0006,Women,Topwear,T-Shirts,Puma,46,Pink,4.00
P0007,Women,Topwear,T-Shirts,Puma,38,Orange,3.00
P0008,Women,Topwear,T-Shirts,Puma,38,Beige,5.00
P0009,Women,Topwear,T-Shirts,Puma,38,Off white,4.00
P0010,Women,Topwear,T-Shirts,Puma,38,Purple,2.00
P0011,Women,Topwear,T-Shirts,Puma,38,Peach,5.00
P0012,Women,Topwear,T-Shirts,Puma,42,Sea Green,5.00
P0013,Women,Topwear,T-Shirts,Puma,42,Lavender,4.00
P0014,Women,Topwear,T-Shirts,Puma,42,Black,4.00
P0015,Women,Topwear,T-Shirts,Puma,42,Blue,4.00
P0016,Women,Topwear,T-Shirts,Puma,36,White,3.00
P0017,Women,Topwear,T-Shirts,Puma,36,Green,5.00
P0018,Women,Topwear,T-Shirts,Wrogn,36,Black,4.00
P0019,Women,Topwear,T-Shirts,Wrogn,36,Black,2.00
P0020,Women,Topwear,T-Shirts,Wrogn,40,Orange,5.00
P0021,Women,Topwear,T-Shirts,Wrogn,40,Beige,5.00
P0022,Women,Topwear,T-Shirts,Wrogn,40,Off white,5.00
P0023,Women,Topwear,T-Shirts,Wrogn,40,Purple,4.00
P0024,Women,Topwear,T-Shirts,Wrogn,42,Peach,4.00
P0025,Women,Topwear,T-Shirts,Wrogn,42,Sea Green,4.00
P0026,Women,Topwear,T-Shirts,HRX by Hrithik Roshan ,42,Lavender,5.00
P0027,Women,Topwear,T-Shirts,HRX by Hrithik Roshan ,42,Black,5.00
P0028,Women,Topwear,T-Shirts,HRX by Hrithik Roshan ,44,Blue,3.00
P0029,Women,Topwear,T-Shirts,HRX by Hrithik Roshan ,44,White,5.00
P0030,Women,Topwear,T-Shirts,HRX by Hrithik Roshan ,44,Green,5.00
P0031,Women,Topwear,T-Shirts,HRX by Hrithik Roshan ,44,Olive,4.00
P0032,Women,Topwear,T-Shirts,HRX by Hrithik Roshan ,46,Pink,3.00
P0033,Women,Topwear,T-Shirts,HRX by Hrithik Roshan ,46,Orange,5.00
P0034,Women,Topwear,T-Shirts,HRX by Hrithik Roshan ,46,Beige,4.00
P0035,Women,Topwear,T-Shirts,HRX by Hrithik Roshan ,46,Off white,3.00
P0036,Women,Topwear,T-Shirts,HRX by Hrithik Roshan ,46,Purple,5.00
P0037,Women,Topwear,T-Shirts,HRX by Hrithik Roshan ,44,Peach,5.00
P0038,Women,Topwear,T-Shirts,HRX by Hrithik Roshan ,44,Sea Green,4.00
P0039,Women,Topwear,T-Shirts,HRX by Hrithik Roshan ,44,Lavender,2.00
P0040,Women,Topwear,T-Shirts,HRX by Hrithik Roshan ,44,Lavender,3.00
P0041,Women,Topwear,T-Shirts,Adidas,44,Lavender,4.00
P0042,Women,Topwear,T-Shirts,Adidas,44,Lavender,5.00
P0043,Women,Topwear,T-Shirts,Adidas,44,Lavender,4.00
P0044,Women,Topwear,T-Shirts,Adidas,40,Lavender,4.00
P0045,Women,Topwear,T-Shirts,Adidas,40,Black,4.00
P0046,Women,Topwear,T-Shirts,Adidas,40,Black,3.00
P0047,Women,Topwear,T-Shirts,Adidas,40,Beige,2.00
P0048,Women,Topwear,T-Shirts,Adidas,38,Beige,5.00
P0049,Women,Topwear,T-Shirts,Adidas,38,Beige,4.00
P0050,Women,Topwear,T-Shirts,Adidas,38,Black,2.00
P0051,Women,Topwear,T-Shirts,Adidas,38,Blue,5.00
P0052,Women,Topwear,T-Shirts,Allen Solly,38,Black,5.00
P0053,Women,Topwear,T-Shirts,Allen Solly,38,Black,4.00
P0054,Women,Topwear,T-Shirts,Allen Solly,42,Blue,4.00
P0055,Women,Topwear,T-Shirts,Allen Solly,42,Blue,4.00
P0056,Women,Topwear,T-Shirts,Allen Solly,42,Blue,3.00
P0057,Men,Topwear,T-Shirts,Allen Solly,42,Blue,5.00
P0058,Women,Topwear,T-Shirts,Allen Solly,46,Black,4.00
P0059,Women,Topwear,T-Shirts,Allen Solly,46,Beige,2.00
P0060,Women,Topwear,T-Shirts,Allen Solly,46,Beige,5.00
P0061,Women,Topwear,T-Shirts,Allen Solly,44,Beige,5.00
P0062,Men,Topwear,T-Shirts,Allen Solly,44,Beige,5.00
P0063,Men,Topwear,Shirts,Allen Solly,44,Beige,4.00
P0064,Men,Topwear,Shirts,Allen Solly,36,Beige,4.00
P0065,Men,Topwear,Shirts,Allen Solly,36,Beige,4.00
P0066,Men,Topwear,Shirts,Allen Solly,36,White,5.00
P0067,Men,Topwear,Shirts,Allen Solly,38,White,5.00
P0068,Men,Topwear,Shirts,Allen Solly,40,White,3.00
P0069,Men,Topwear,Shirts,Allen Solly,42,White,5.00
P0070,Men,Topwear,Shirts,Allen Solly,44,White,5.00
P0071,Men,Topwear,Shirts,Allen Solly,38,White,4.00
P0072,Men,Topwear,Shirts,Allen Solly,46,Teal,3.00
P0073,Men,Topwear,Shirts,Allen Solly,38,Teal,4.00
P0074,Men,Topwear,Shirts,Allen Solly,38,Teal,5.00
P0075,Men,Topwear,Shirts,Allen Solly,38,Teal,3.00
P0076,Men,Topwear,Shirts,Allen Solly,38,White,2.00
P0077,Men,Topwear,Shirts,Allen Solly,38,Off white,5.00
P0078,Men,Topwear,Shirts,Allen Solly,42,Off white,4.00
P0079,Men,Topwear,Shirts,Allen Solly,42,Off white,3.00
P0080,Men,Topwear,Shirts,Allen Solly,42,Off white,5.00
